Outcome,Amount,MonthlyCost,FirstCash,CreditScore,LoanProduct,LoanType
O_Cancelled,30000.0,300.0,0.0,0,Existing loan takeover,New credit
O_Accepted,8000.0,80.0,8000.0,1033,Car,New credit
O_Cancelled,15000.0,282.96,15000.0,0,Car,New credit
O_Cancelled,15000.0,283.0,0.0,0,Car,New credit
O_Refused,20000.0,200.0,0.0,0,Car,New credit
O_Accepted,6000.0,303.56,6000.0,1010,Unknown,New credit
O_Accepted,11800.0,130.62,11800.0,994,Car,New credit
O_Accepted,11600.0,169.1,10445.35,956,"Other, see explanation",New credit
O_Accepted,5000.0,153.68,5000.0,1090,Car,New credit
O_Refused,15000.0,150.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,15000.0,200.0,0.0,0,Not speficied,New credit
O_Cancelled,33800.0,633.17,33800.0,0,Car,New credit
O_Accepted,11000.0,212.33,8805.0,853,Existing loan takeover,New credit
O_Cancelled,18000.0,539.35,8625.0,0,Home improvement,New credit
O_Cancelled,5000.0,150.0,0.0,0,"Other, see explanation",New credit
O_Accepted,25000.0,468.32,25000.0,956,Car,New credit
O_Cancelled,15000.0,500.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,50000.0,522.97,23837.0,0,Existing loan takeover,New credit
O_Refused,20000.0,375.0,10000.0,0,Car,Limit raise
O_Cancelled,40000.0,418.37,40000.0,0,Boat,New credit
O_Accepted,12000.0,231.64,12000.0,889,"Other, see explanation",New credit
O_Accepted,25000.0,300.0,0.0,955,Car,New credit
O_Cancelled,20000.0,347.09,20000.0,0,Home improvement,New credit
O_Cancelled,50000.0,500.0,50000.0,0,Home improvement,New credit
O_Cancelled,6000.0,60.0,0.0,0,Unknown,New credit
O_Cancelled,35000.0,366.08,35000.0,0,Home improvement,New credit
O_Cancelled,7000.0,100.0,0.0,0,Unknown,Limit raise
O_Cancelled,5000.0,153.68,5000.0,0,Home improvement,New credit
O_Accepted,23100.0,244.84,317.94,884,Unknown,New credit
O_Accepted,5000.0,100.0,1500.0,806,Home improvement,New credit
O_Accepted,8500.0,167.07,8500.0,894,Car,New credit
O_Cancelled,22000.0,400.0,0.0,0,Home improvement,New credit
O_Accepted,5000.0,250.0,0.0,835,"Other, see explanation",New credit
O_Cancelled,22000.0,415.01,22000.0,0,Home improvement,New credit
O_Accepted,15000.0,150.0,3000.0,868,Unknown,New credit
O_Accepted,33800.0,633.0,33800.0,908,Car,New credit
O_Cancelled,15000.0,300.0,0.0,0,"Other, see explanation",New credit
O_Accepted,18500.0,400.0,18500.0,794,Business goal,New credit
O_Cancelled,22000.0,220.0,0.0,0,Extra spending limit,Limit raise
O_Accepted,20000.0,400.0,3000.0,662,"Other, see explanation",Limit raise
O_Cancelled,50000.0,500.0,0.0,0,Home improvement,New credit
O_Refused,17500.0,175.0,7500.0,0,Car,New credit
O_Cancelled,15700.0,198.65,3726.0,0,Car,New credit
O_Cancelled,8000.0,357.06,5140.0,0,Existing loan takeover,New credit
O_Cancelled,9000.0,200.0,0.0,0,Not speficied,New credit
O_Cancelled,5000.0,250.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,27000.0,300.0,0.0,0,Car,Limit raise
O_Cancelled,12000.0,120.0,0.0,0,Car,New credit
O_Cancelled,5000.0,98.28,5000.0,0,Car,New credit
O_Accepted,40000.0,400.0,0.0,938,Home improvement,New credit
O_Refused,11500.0,199.57,1555.0,0,Unknown,New credit
O_Accepted,20000.0,300.0,0.0,0,Existing loan takeover,Limit raise
O_Cancelled,5000.0,149.93,5000.0,0,Car,New credit
O_Accepted,9000.0,200.0,3000.0,873,Not speficied,New credit
O_Accepted,15000.0,250.0,0.0,951,Caravan / Camper,New credit
O_Accepted,10000.0,198.75,10000.0,1016,Car,New credit
O_Cancelled,50000.0,706.73,50000.0,0,"Other, see explanation",New credit
O_Cancelled,50000.0,500.0,50000.0,0,"Other, see explanation",New credit
O_Cancelled,5000.0,181.46,5000.0,0,Car,New credit
O_Refused,15000.0,247.39,15000.0,0,"Other, see explanation",New credit
O_Accepted,15000.0,282.96,15000.0,1034,Caravan / Camper,New credit
O_Accepted,5100.0,86.2,2624.0,1047,"Other, see explanation",New credit
O_Cancelled,13000.0,274.91,13000.0,0,Car,New credit
O_Accepted,10000.0,200.0,0.0,895,Home improvement,New credit
O_Refused,7000.0,137.59,7000.0,0,Home improvement,New credit
O_Accepted,25000.0,261.48,11808.0,926,Home improvement,New credit
O_Accepted,5500.0,124.2,5500.0,1011,Car,New credit
O_Refused,50000.0,500.0,0.0,0,Home improvement,New credit
O_Accepted,20000.0,377.28,20000.0,1004,Car,New credit
O_Accepted,50000.0,1000.0,0.0,0,"Other, see explanation",Limit raise
O_Accepted,23500.0,500.0,3500.0,0,"Other, see explanation",Limit raise
O_Cancelled,8000.0,200.0,8000.0,0,Not speficied,New credit
O_Cancelled,5000.0,150.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,15000.0,282.96,6730.0,0,Car,New credit
O_Accepted,15000.0,225.54,6945.0,1076,Car,New credit
O_Cancelled,9000.0,401.69,9000.0,0,Car,New credit
O_Accepted,7500.0,85.89,7500.0,976,Home improvement,New credit
O_Cancelled,10000.0,100.0,0.0,0,Car,Limit raise
O_Accepted,12000.0,120.0,0.0,0,Car,Limit raise
O_Accepted,10000.0,200.0,0.0,904,Home improvement,Limit raise
O_Cancelled,6000.0,100.0,0.0,0,"Other, see explanation",Limit raise
O_Cancelled,7000.0,550.0,1000.0,0,"Other, see explanation",Limit raise
O_Accepted,15000.0,200.1,15000.0,1006,Home improvement,New credit
O_Cancelled,20000.0,200.0,0.0,0,Home improvement,New credit
O_Cancelled,40000.0,400.0,0.0,0,Home improvement,New credit
O_Refused,22500.0,225.0,3579.0,0,Home improvement,Limit raise
O_Accepted,12000.0,240.0,4000.0,0,Car,Limit raise
O_Cancelled,7500.0,147.42,7500.0,0,Motorcycle,New credit
O_Cancelled,30000.0,300.0,0.0,0,Home improvement,New credit
O_Cancelled,5000.0,84.5,5000.0,0,Home improvement,New credit
O_Accepted,16000.0,320.0,0.0,859,Existing loan takeover,New credit
O_Cancelled,8800.0,172.97,8800.0,0,Home improvement,New credit
O_Accepted,15000.0,326.98,6368.0,793,Not speficied,New credit
O_Accepted,15000.0,300.0,15000.0,869,Car,New credit
O_Cancelled,7500.0,100.0,0.0,0,Car,New credit
O_Cancelled,45000.0,531.72,492.0,0,Existing loan takeover,New credit
O_Accepted,45000.0,470.67,492.0,957,Existing loan takeover,New credit
O_Cancelled,7500.0,100.0,0.0,0,Car,New credit
O_Cancelled,5000.0,119.02,5000.0,0,Car,New credit
O_Cancelled,19500.0,555.79,9380.0,0,Existing loan takeover,New credit
O_Refused,50000.0,500.0,0.0,0,Home improvement,New credit
O_Accepted,15000.0,150.0,0.0,1021,Home improvement,New credit
O_Refused,16000.0,301.83,16000.0,0,Car,New credit
O_Cancelled,10000.0,193.03,10000.0,0,Car,New credit
O_Cancelled,23000.0,510.37,21300.0,0,Remaining debt home,New credit
O_Cancelled,23000.0,817.02,21300.0,0,Remaining debt home,New credit
O_Cancelled,30000.0,313.78,30000.0,0,Home improvement,New credit
O_Refused,30000.0,300.0,0.0,0,Home improvement,Limit raise
O_Refused,32500.0,325.0,0.0,0,Home improvement,Limit raise
O_Cancelled,6800.0,136.0,0.0,0,Car,New credit
O_Cancelled,40000.0,418.37,40000.0,0,Boat,New credit
O_Cancelled,18000.0,400.0,0.0,0,Existing loan takeover,New credit
O_Accepted,40100.0,401.0,1000.0,862,"Other, see explanation",Limit raise
O_Cancelled,6000.0,351.27,6000.0,0,Home improvement,New credit
O_Accepted,22000.0,220.0,0.0,863,Existing loan takeover,New credit
O_Accepted,7000.0,70.0,0.0,901,Home improvement,New credit
O_Cancelled,5000.0,74.71,5000.0,0,Home improvement,New credit
O_Cancelled,18000.0,339.55,18000.0,0,Home improvement,New credit
O_Accepted,18000.0,289.76,18000.0,1004,Home improvement,New credit
O_Cancelled,5000.0,100.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,10000.0,100.0,0.0,0,"Other, see explanation",New credit
O_Accepted,25000.0,261.48,25000.0,838,Home improvement,New credit
O_Refused,10000.0,193.03,10000.0,0,Car,New credit
O_Cancelled,34000.0,355.62,3411.28,0,Home improvement,New credit
O_Cancelled,5000.0,223.16,5000.0,0,Car,New credit
O_Accepted,21500.0,445.29,178.0,910,Existing loan takeover,New credit
O_Cancelled,25000.0,514.52,3678.0,0,Existing loan takeover,New credit
O_Cancelled,5000.0,123.53,1000.0,0,Unknown,New credit
O_Cancelled,5000.0,50.0,0.0,0,Home improvement,New credit
O_Cancelled,5000.0,57.26,5000.0,0,Home improvement,New credit
O_Accepted,15000.0,300.0,15000.0,979,Car,New credit
O_Accepted,7500.0,147.42,7500.0,842,Car,New credit
O_Refused,50000.0,500.0,0.0,0,Home improvement,New credit
O_Accepted,32000.0,334.7,0.0,962,Existing loan takeover,New credit
O_Cancelled,5000.0,100.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,10000.0,250.0,0.0,0,Home improvement,New credit
O_Accepted,10000.0,248.42,10000.0,918,Home improvement,New credit
O_Cancelled,10000.0,110.7,10000.0,0,Home improvement,New credit
O_Accepted,13500.0,149.44,13500.0,659,Car,New credit
O_Refused,5000.0,98.28,5000.0,0,Extra spending limit,New credit
O_Cancelled,30000.0,300.0,100.0,0,Home improvement,Limit raise
O_Cancelled,20000.0,450.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,17700.0,407.49,17700.0,0,Car,New credit
O_Cancelled,25000.0,261.48,25000.0,0,Home improvement,New credit
O_Cancelled,20000.0,200.0,0.0,0,Home improvement,New credit
O_Refused,8200.0,195.19,7850.0,0,Not speficied,New credit
O_Refused,20000.0,200.0,20000.0,0,Car,New credit
O_Cancelled,15000.0,283.0,0.0,0,Car,New credit
O_Cancelled,15000.0,282.96,15000.0,0,Car,New credit
O_Cancelled,10000.0,200.0,0.0,0,Home improvement,New credit
O_Accepted,30000.0,300.0,2500.0,887,Existing loan takeover,New credit
O_Cancelled,15000.0,150.0,0.0,0,"Other, see explanation",New credit
O_Accepted,15000.0,150.0,15000.0,811,Home improvement,New credit
O_Refused,6000.0,60.0,1000.0,0,Existing loan takeover,New credit
O_Accepted,15000.0,150.0,10000.0,990,Car,New credit
O_Cancelled,5500.0,475.11,5500.0,0,"Other, see explanation",New credit
O_Accepted,30000.0,300.0,0.0,0,Home improvement,Limit raise
O_Cancelled,5000.0,223.16,5000.0,0,Car,New credit
O_Accepted,25000.0,250.0,0.0,972,"Other, see explanation",New credit
O_Cancelled,10500.0,200.0,4000.0,0,Home improvement,New credit
O_Accepted,8300.0,168.0,0.0,1063,Existing loan takeover,New credit
O_Accepted,6800.0,136.0,6750.0,1108,Car,New credit
O_Cancelled,12000.0,298.1,12000.0,0,Car,New credit
O_Accepted,15000.0,300.0,0.0,0,Home improvement,Limit raise
O_Cancelled,8750.0,250.26,8750.0,0,Car,New credit
O_Accepted,22000.0,220.0,2000.0,0,Extra spending limit,Limit raise
O_Cancelled,8800.0,251.69,8800.0,0,Car,New credit
O_Accepted,8000.0,125.0,8000.0,1004,Home improvement,New credit
O_Accepted,5000.0,250.0,0.0,1078,Car,New credit
O_Cancelled,24000.0,240.0,0.0,0,Car,Limit raise
O_Accepted,15000.0,200.0,2000.0,1023,Not speficied,New credit
O_Refused,43000.0,449.75,0.0,0,Existing loan takeover,New credit
O_Cancelled,22500.0,450.0,4000.0,0,Unknown,New credit
O_Accepted,25000.0,250.0,5000.0,0,Unknown,Limit raise
O_Refused,15000.0,282.96,15000.0,0,Car,New credit
O_Cancelled,50000.0,522.97,22000.0,0,"Other, see explanation",New credit
O_Accepted,50000.0,548.39,21382.0,1009,"Other, see explanation",New credit
O_Cancelled,35800.0,374.44,35800.0,0,Remaining debt home,New credit
O_Cancelled,18200.0,252.11,17436.0,0,Car,New credit
O_Cancelled,10800.0,172.71,4088.0,0,Car,New credit
O_Cancelled,5000.0,57.26,5000.0,0,"Other, see explanation",New credit
O_Accepted,8000.0,119.54,5075.75,743,Existing loan takeover,New credit
O_Accepted,5000.0,100.0,1000.0,1124,Home improvement,New credit
O_Accepted,10000.0,250.0,2500.0,1009,Home improvement,New credit
O_Accepted,20000.0,400.0,2000.0,0,Home improvement,Limit raise
O_Refused,25000.0,468.32,10300.0,0,"Other, see explanation",New credit
O_Cancelled,10800.0,172.71,4088.0,0,Car,New credit
O_Accepted,15000.0,150.0,14000.0,994,Home improvement,New credit
O_Cancelled,15000.0,282.96,15000.0,0,Home improvement,New credit
O_Accepted,10000.0,110.7,4995.0,911,Home improvement,New credit
O_Cancelled,25000.0,468.32,25000.0,0,Home improvement,New credit
O_Cancelled,18000.0,350.0,0.0,0,Car,Limit raise
O_Accepted,25000.0,250.0,5000.0,808,Existing loan takeover,New credit
O_Cancelled,5000.0,292.72,5000.0,0,Home improvement,New credit
O_Accepted,30000.0,372.3,24370.0,754,Home improvement,New credit
O_Accepted,7500.0,150.0,0.0,997,Unknown,New credit
O_Cancelled,5000.0,100.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,5000.0,98.28,5000.0,0,"Other, see explanation",New credit
O_Cancelled,10000.0,150.0,0.0,0,Unknown,New credit
O_Cancelled,20000.0,500.0,0.0,0,Caravan / Camper,New credit
O_Cancelled,5000.0,100.0,0.0,0,Car,New credit
O_Cancelled,7500.0,150.0,0.0,0,Tax payments,New credit
O_Accepted,27000.0,270.0,0.0,986,Remaining debt home,New credit
O_Cancelled,10000.0,243.6,6500.0,0,Existing loan takeover,New credit
O_Cancelled,20000.0,377.28,20000.0,0,Remaining debt home,New credit
O_Cancelled,20000.0,377.0,0.0,0,Remaining debt home,New credit
O_Accepted,27500.0,287.63,0.0,746,Remaining debt home,New credit
O_Accepted,25000.0,468.32,0.0,875,Not speficied,New credit
O_Cancelled,10500.0,200.0,0.0,0,Existing loan takeover,Limit raise
O_Accepted,17000.0,170.0,0.0,914,Unknown,New credit
O_Cancelled,44000.0,460.21,350.64,0,Existing loan takeover,New credit
O_Accepted,44000.0,460.21,336.0,912,Existing loan takeover,New credit
O_Cancelled,50000.0,750.0,0.0,0,Home improvement,New credit
O_Cancelled,50000.0,753.39,50000.0,0,Home improvement,New credit
O_Accepted,15500.0,225.0,2000.0,0,Unknown,Limit raise
O_Cancelled,29900.0,299.0,0.0,0,"Other, see explanation",New credit
O_Accepted,35000.0,366.08,35000.0,598,Home improvement,New credit
O_Cancelled,16000.0,797.2,14300.0,0,Remaining debt home,New credit
O_Cancelled,7500.0,150.0,0.0,0,Unknown,New credit
O_Accepted,33000.0,345.16,3798.0,758,Extra spending limit,New credit
O_Accepted,6500.0,150.0,0.0,839,Unknown,New credit
O_Cancelled,10000.0,110.7,10000.0,0,Car,New credit
O_Cancelled,12500.0,149.68,2500.0,0,Existing loan takeover,New credit
O_Cancelled,10000.0,100.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,10000.0,100.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,10000.0,100.0,0.0,0,Extra spending limit,New credit
O_Accepted,50000.0,500.0,0.0,834,Remaining debt home,Limit raise
O_Cancelled,5000.0,100.0,2266.88,0,Existing loan takeover,New credit
O_Accepted,5500.0,360.27,5500.0,947,Car,New credit
O_Cancelled,5500.0,245.48,5500.0,0,Car,New credit
O_Accepted,20000.0,400.0,0.0,980,Existing loan takeover,New credit
O_Cancelled,8000.0,150.0,0.0,0,Car,New credit
O_Cancelled,12500.0,175.54,8118.0,0,Home improvement,New credit
O_Accepted,5000.0,50.0,5000.0,915,Car,New credit
O_Accepted,10000.0,200.0,0.0,0,Existing loan takeover,Limit raise
O_Accepted,35000.0,450.0,9915.0,899,Car,Limit raise
O_Accepted,32000.0,334.7,32000.0,948,"Other, see explanation",New credit
O_Accepted,5000.0,50.0,0.0,809,"Other, see explanation",New credit
O_Cancelled,34900.0,349.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,14500.0,160.51,14500.0,0,Car,New credit
O_Accepted,15000.0,282.96,15000.0,873,Car,New credit
O_Cancelled,14500.0,177.38,14500.0,0,Car,New credit
O_Accepted,14500.0,200.02,14500.0,875,Car,New credit
O_Cancelled,14500.0,224.51,14500.0,0,Car,New credit
O_Cancelled,17500.0,362.45,17500.0,0,"Other, see explanation",New credit
O_Cancelled,25000.0,514.52,25000.0,0,"Other, see explanation",New credit
O_Accepted,15000.0,150.0,4000.0,1035,Extra spending limit,New credit
O_Accepted,7000.0,99.13,7000.0,870,Home improvement,New credit
O_Cancelled,45000.0,1030.16,42192.0,0,Car,New credit
O_Refused,6000.0,267.8,6000.0,0,Existing loan takeover,New credit
O_Refused,6000.0,267.8,0.0,0,Existing loan takeover,New credit
O_Accepted,22900.0,250.0,0.0,781,Not speficied,New credit
O_Accepted,17400.0,174.0,800.0,746,Unknown,Limit raise
O_Accepted,17500.0,250.0,500.0,0,Car,Limit raise
O_Refused,25000.0,399.13,25000.0,0,Car,New credit
O_Accepted,20000.0,600.0,0.0,931,"Other, see explanation",New credit
O_Accepted,20000.0,200.0,15000.0,994,Home improvement,New credit
O_Refused,5000.0,153.68,5000.0,0,Car,New credit
O_Cancelled,13600.0,178.3,3800.0,0,Existing loan takeover,New credit
O_Cancelled,25000.0,261.48,25000.0,0,Home improvement,New credit
O_Accepted,15000.0,300.0,15000.0,1064,Home improvement,New credit
O_Accepted,11000.0,150.0,11000.0,988,Car,New credit
O_Accepted,17500.0,200.0,17500.0,924,Car,New credit
O_Accepted,28000.0,350.46,414.0,827,Existing loan takeover,New credit
O_Accepted,10000.0,110.7,10000.0,1133,Home improvement,New credit
O_Accepted,36000.0,360.0,0.0,0,Existing loan takeover,Limit raise
O_Accepted,10000.0,193.03,10000.0,1006,Home improvement,New credit
O_Cancelled,6000.0,117.93,0.0,0,Remaining debt home,New credit
O_Accepted,6000.0,184.42,0.0,954,Remaining debt home,New credit
O_Accepted,23000.0,243.78,3500.0,951,Remaining debt home,New credit
O_Cancelled,13600.0,178.3,3800.0,0,Existing loan takeover,New credit
O_Refused,7000.0,137.59,1604.47,0,Unknown,New credit
O_Accepted,10000.0,100.0,0.0,1032,Home improvement,New credit
O_Accepted,25000.0,500.0,3000.0,0,"Other, see explanation",Limit raise
O_Refused,7000.0,166.62,7000.0,0,Home improvement,New credit
O_Cancelled,12000.0,231.64,12000.0,0,Home improvement,New credit
O_Accepted,40000.0,749.32,40000.0,920,Remaining debt home,New credit
O_Accepted,15000.0,282.96,15000.0,958,Home improvement,New credit
O_Accepted,15000.0,300.0,15000.0,1064,"Other, see explanation",New credit
O_Accepted,5000.0,225.0,5000.0,871,Car,New credit
O_Cancelled,5000.0,431.92,5000.0,0,Car,New credit
O_Cancelled,15000.0,241.47,1637.0,0,Unknown,New credit
O_Accepted,15000.0,200.0,9000.0,1027,Car,New credit
O_Cancelled,5000.0,160.0,0.0,0,Unknown,New credit
O_Cancelled,21800.0,500.0,0.0,0,Existing loan takeover,New credit
O_Accepted,15000.0,150.0,0.0,886,Car,Limit raise
O_Cancelled,48500.0,485.0,0.0,0,Existing loan takeover,New credit
O_Accepted,5000.0,100.0,5000.0,1059,"Other, see explanation",New credit
O_Cancelled,5000.0,223.16,5000.0,0,Not speficied,New credit
O_Cancelled,36200.0,527.92,36200.0,0,Unknown,New credit
O_Cancelled,10000.0,151.66,10000.0,0,Home improvement,New credit
O_Cancelled,15000.0,200.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,16000.0,274.07,16000.0,0,Car,New credit
O_Cancelled,22500.0,225.0,0.0,0,Car,Limit raise
O_Accepted,6000.0,100.0,6000.0,1108,Home improvement,New credit
O_Accepted,14000.0,300.0,2500.0,967,Home improvement,New credit
O_Refused,7000.0,300.75,3208.0,0,Car,New credit
O_Refused,7000.0,300.0,0.0,0,Car,New credit
O_Cancelled,15000.0,282.96,273.0,0,Existing loan takeover,New credit
O_Cancelled,7500.0,75.0,0.0,0,Not speficied,New credit
O_Accepted,50000.0,500.0,0.0,926,Existing loan takeover,New credit
O_Cancelled,20600.0,206.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,20600.0,218.34,361.85,0,Existing loan takeover,New credit
O_Refused,5000.0,149.93,1803.0,0,Existing loan takeover,New credit
O_Accepted,10000.0,200.0,2000.0,862,Extra spending limit,New credit
O_Cancelled,25000.0,250.0,0.0,0,Car,Limit raise
O_Cancelled,15000.0,158.98,15000.0,0,Car,New credit
O_Cancelled,15000.0,200.0,0.0,0,Home improvement,New credit
O_Cancelled,6000.0,184.42,5000.0,0,Car,New credit
O_Accepted,45000.0,842.98,45000.0,885,Car,New credit
O_Cancelled,40000.0,400.0,0.0,0,Home improvement,New credit
O_Cancelled,36500.0,375.0,0.0,0,Existing loan takeover,New credit
O_Refused,10000.0,200.0,4000.0,0,Unknown,New credit
O_Accepted,17700.0,250.04,3306.0,794,"Other, see explanation",New credit
O_Cancelled,5000.0,111.03,5000.0,0,Car,New credit
O_Cancelled,5000.0,98.28,5000.0,0,Car,New credit
O_Cancelled,13500.0,149.44,13500.0,0,Remaining debt home,New credit
O_Cancelled,15000.0,158.98,15000.0,0,Remaining debt home,New credit
O_Cancelled,33800.0,633.0,0.0,0,Car,New credit
O_Accepted,5000.0,100.0,2000.0,1067,Car,New credit
O_Cancelled,5000.0,99.68,5000.0,0,Car,New credit
O_Refused,5000.0,100.0,1350.0,0,Existing loan takeover,New credit
O_Accepted,5000.0,515.46,5000.0,1042,Home improvement,New credit
O_Accepted,26000.0,271.94,2691.0,824,Existing loan takeover,New credit
O_Accepted,30000.0,300.0,5000.0,0,Car,Limit raise
O_Cancelled,16000.0,160.0,0.0,0,Car,Limit raise
O_Cancelled,15000.0,568.58,11200.0,0,Existing loan takeover,New credit
O_Accepted,6000.0,175.0,6000.0,842,Car,New credit
O_Accepted,50000.0,500.0,40000.0,848,Boat,New credit
O_Accepted,12000.0,225.0,12000.0,929,Unknown,New credit
